id,nome,nome_normalizado,partido_atual,legislatura,url_perfil,foto_url
1,Alyne do Nascimento,alyne do nascimento,DC,2025-2028,/alyne-do-nascimento/,
2,Altamir Moisés de Carvalho,altamir moises de carvalho,Podemos,2025-2028,/vereadores/altamir-moises-carvalho/,
3,Dorival Marcos de Oliveira,dorival marcos de oliveira,PT,2025-2028,/dorival-marcos-de-oliveira/,
4,Everaldo Barbosa,everaldo barbosa,MDB,2025-2028,/everaldo-barbosa/,
5,Flávio Faria,flavio faria,PRD,2025-2028,/vereadores/flavio-faria/,
6,Flávia Letícia,flavia leticia,PT,2025-2028,/flavia-leticia/,
7,Luciano Gomes,luciano gomes,PSB,2025-2028,/vereadores/luciano-gomes/,
8,Maria da Enfermagem,maria da enfermagem,PSB,2025-2028,/maria-da-enfermagem/,
9,Sandra Cabral,sandra cabral,PSB,2025-2028,/vereadores/sandra-cabral/,
10,José Abud,jose abud,Republicanos,2025-2028,/vereadores/jose-abud-2/,
11,Josiane Lopes,josiane lopes,MDB,2025-2028,/josiane-lopes/,
12,Valmir Teteco,valmir teteco,PSD,2025-2028,/valmir-teteco/,
13,Thailândia Leite,thailandia leite,Podemos,2025-2028,/thailandia-de-freitas/,
